Info 0    [18:27:15.471] Starting TS Server
Info 1    [18:27:15.472] Version: 3.7.4
Info 2    [18:27:15.472] Arguments: C:\Program Files\nodejs\node.exe c:\Users\test\AppData\Roaming\npm\node_modules\typescript\bin\tsserver --logFile c:\Users\test\Downloads\workspace\__self\Links_Template\.log\tsserver.log --logVerbosity info --cancellationPipeName C:\Users\test\AppData\Local\Temp\a54eafdf91f049aab31e4b587eb1b649\tscancellation*
Info 3    [18:27:15.472] Platform: win32 NodeVersion: 12 CaseSensitive: false
Info 4    [18:27:15.494] Search path: c:/Users/test/Downloads/workspace/__self/Links_Template/js
Info 5    [18:27:15.495] For info: c:/Users/test/Downloads/workspace/__self/Links_Template/js/main.js :: No config files found.
Info 6    [18:27:15.500] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [18:27:16.84] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 584ms
Info 8    [18:27:16.85] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [18:27:16.85] 	Files (6)

Info 10   [18:27:16.85] -----------------------------------------------
Info 11   [18:27:17.582] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [18:27:17.586] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 4ms
Info 13   [18:27:17.586] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [18:27:17.587] Structure before ensureProjectForOpenFiles:
Info 15   [18:27:17.587] Structure after ensureProjectForOpenFiles:
Info 16   [18:27:17.587] got projects updated in background, updating diagnostics for c:/Users/test/Downloads/workspace/__self/Links_Template/js/main.js
Info 17   [18:27:39.384] Search path: c:/Users/test/Downloads/workspace/__self/Links_Template/js
Info 18   [18:27:39.384] For info: c:/Users/test/Downloads/workspace/__self/Links_Template/js/cofig.js :: No config files found.
Info 19   [18:27:39.385] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 20   [18:27:39.388] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 3ms
Info 21   [18:27:39.388] Project '/dev/null/inferredProject2*' (Inferred) 
Info 22   [18:27:39.388] 	Files (6)

Info 23   [18:27:39.388] -----------------------------------------------
Info 24   [18:27:39.588] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 25   [18:27:39.598] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 10ms
Info 26   [18:27:39.602] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 27   [18:27:39.760] Structure before ensureProjectForOpenFiles:
Info 28   [18:27:39.760] Structure after ensureProjectForOpenFiles:
Info 29   [18:27:39.760] got projects updated in background, updating diagnostics for c:/Users/test/Downloads/workspace/__self/Links_Template/js/main.js,c:/Users/test/Downloads/workspace/__self/Links_Template/js/cofig.js
Info 30   [18:28:13.233] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 31   [18:28:13.239] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false Elapsed: 6ms
Info 32   [18:28:13.239] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 33   [18:28:13.399] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 34   [18:28:13.402] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false Elapsed: 3ms
Info 35   [18:28:13.402] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 36   [18:28:26.502] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [18:28:26.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 4ms
